Deserialize time: 0.1279s, Aggregation+Serialization time: 0.1446s 
Deserialize time: 0.1616s, Aggregation+Serialization time: 0.1460s 
Deserialize time: 0.1517s, Aggregation+Serialization time: 0.1758s 
Deserialize time: 0.1342s, Aggregation+Serialization time: 0.1846s 
Deserialize time: 0.1159s, Aggregation+Serialization time: 0.1648s 
Deserialize time: 0.1277s, Aggregation+Serialization time: 0.1871s 
Deserialize time: 0.1569s, Aggregation+Serialization time: 0.2029s 
Deserialize time: 0.1132s, Aggregation+Serialization time: 0.1579s 
Deserialize time: 0.1305s, Aggregation+Serialization time: 0.1702s 
Deserialize time: 0.1552s, Aggregation+Serialization time: 0.1927s 
Deserialize time: 0.1513s, Aggregation+Serialization time: 0.1934s 
Deserialize time: 0.1424s, Aggregation+Serialization time: 0.1861s 
Deserialize time: 0.1141s, Aggregation+Serialization time: 0.1577s 
Deserialize time: 0.1399s, Aggregation+Serialization time: 0.1631s 
Deserialize time: 0.1378s, Aggregation+Serialization time: 0.1700s 
Deserialize time: 0.1685s, Aggregation+Serialization time: 0.1783s 
Deserialize time: 0.1752s, Aggregation+Serialization time: 0.2210s 
Deserialize time: 0.2869s, Aggregation+Serialization time: 0.3398s 
Deserialize time: 0.2041s, Aggregation+Serialization time: 0.2748s 
Deserialize time: 0.1882s, Aggregation+Serialization time: 0.2380s 
Deserialize time: 0.1391s, Aggregation+Serialization time: 0.2181s 
Deserialize time: 0.1734s, Aggregation+Serialization time: 0.1901s 
Deserialize time: 0.1518s, Aggregation+Serialization time: 0.1766s 
Deserialize time: 0.1495s, Aggregation+Serialization time: 0.2015s 
Deserialize time: 0.1433s, Aggregation+Serialization time: 0.1849s 
Deserialize time: 0.1639s, Aggregation+Serialization time: 0.1965s 
Deserialize time: 0.1765s, Aggregation+Serialization time: 0.2254s 
Deserialize time: 0.1836s, Aggregation+Serialization time: 0.2143s 
Deserialize time: 0.1508s, Aggregation+Serialization time: 0.2042s 
Deserialize time: 0.1479s, Aggregation+Serialization time: 0.2003s 
Deserialize time: 0.1645s, Aggregation+Serialization time: 0.1894s 
Deserialize time: 0.1976s, Aggregation+Serialization time: 0.1950s 
Deserialize time: 0.1435s, Aggregation+Serialization time: 0.2052s 
